"","season","gender","category","first_cycling_race_id","race_name","race_nationality","uci_race_classification","stage_race_boolean","start_date","end_date","stage_number","distance","route","stage_profile_category_mapping_eng","race_tags"
"1",2023,"men","Road",677,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","01","153","Plaza 25 de Mayo-Circuito San Juan Villicum","Flat","            "
"2",2023,"men","Road",677,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","02","134.3","Circuito San Juan Villicum-Circuito San Juan Villicum","Flat","            "
"3",2023,"men","Road",677,"Giro del Sol San Juan","AR","2.2","Stage Race","2023/01/06","2023/01/08","03","179.9","Circuito San Juan Villicum-Circuito San Juan Villicum","Flat","            "
"4",2023,"men","Road",456,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","01","123","Masterton-Masterton","Flat","            "
"5",2023,"men","Road",456,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","02","127.3","Masterton-Martinborough","Flat","            "
"6",2023,"men","Road",456,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","05","49.6","Wellington-Wellington","Flat","            "
"7",2023,"men","Road",456,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","04","126","Miramar-Miramar","Hilly","            "
"8",2023,"men","Road",456,"NZ Cycle Classic","NZ","2.2","Stage Race","2023/01/11","2023/01/15","03","155.5","Masterton-Admiral Hill","Hilly MTF","            "
"9",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","01","149.8","San Cristóbal-Tariba","Flat","            "
"10",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","03","126.5","San Juan De Colón-La Tendida","Flat","            "
"11",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","08","117.3","San Cristóbal-San Cristóbal","Flat","            "
"12",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","02","141.5","San Josecito-San Cristóbal","Hilly MTF","            "
"13",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","04","133.1","Lagunillas-Mérida","Hilly MTF","            "
"14",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","05","134.4","La Tendida-La Grita","Mountain MTF","            "
"15",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","06","132.3","La Fría-Casa Del Padre","Mountain MTF","            "
"16",2023,"men","Road",454,"Vuelta al Táchira","VE","2.2","Stage Race","2023/01/15","2023/01/22","07","137","Ureña-Cerro Del Cristo Rey","Mountain MTF","            "
"17",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","04","133.2","Port Willunga-Willunga","Flat"," World Tour      Aussie WT     "
"18",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","00","5.5","Adelaide-Adelaide","Flat ITT"," World Tour      Aussie WT     "
"19",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","01","149.9","Tanunda-Tanunda","Hilly"," World Tour      Aussie WT     "
"20",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","02","154.8","Brighton-Victor Harbor","Hilly"," World Tour      Aussie WT     "
"21",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","03","116.8","Norwood-Campbelltown","Hilly"," World Tour      Aussie WT     "
"22",2023,"men","Road",1,"Tour Down Under","AU","2.UWT","Stage Race","2023/01/17","2023/01/22","05","112.5","Unley-Mount Lofty","Hilly MTF"," World Tour      Aussie WT     "
"23",2023,"men","Road",8467,"Gravel and Tar","NZ","1.2","One Day","2023/01/21","2023/01/21","GC","","","Hilly","            "
"24",2023,"men","Road",411,"Clàssica Comunitat Valenciana 1969 - GP Valencia","ES","1.1","One Day","2023/01/22","2023/01/22","GC","","","Flat","            "
"25",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","01","143.9","San Juan-San Juan","Flat","            "
"26",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","03","170.9","San Juan-San Juan","Flat","            "
"27",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","06","144.9","San Juan-San Juan","Flat","            "
"28",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","07","112","San Juan-San Juan","Flat","            "
"29",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","02","201.1","Villa San Augustin-San José de Jáchal","Hilly","            "
"30",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","04","196.5","San Juan-Barreal","Mountain MTF","            "
"31",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","05","173.7","San Juan-Alto de Colorado","Mountain MTF","            "
"32",2023,"men","Road",5247,"Vuelta a San Juan","AR","2.Pro","Stage Race","2023/01/22","2023/01/29","","-","-","Unknown","            "
"33",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","02","111.5","Oyem-Mitzic","Flat","            "
"34",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","03","113","Lébamba-Mouila","Flat","            "
"35",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","05","103.5","Kango-Angondjé","Flat","            "
"36",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","06","127.2","Port-Gentil-Port-Gentil","Flat","            "
"37",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","07","133","Cap Esterias-Libreville","Flat","            "
"38",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","04","193.5","Mouila-Lambaréné","Hilly","            "
"39",2023,"men","Road",117,"Tropicale Amissa Bongo","GA","2.1","Stage Race","2023/01/23","2023/01/29","01","121.5","Bitam-Oyem","Hilly MTF","            "
"40",2023,"men","Road",271,"Trofeo Calvia","ES","1.1","One Day","2023/01/25","2023/01/25","GC","","","Hilly","           Challenge Mallorca "
"41",2023,"men","Road",273,"Trofeo Alcudia - Port d'Alcudia","ES","1.1","One Day","2023/01/26","2023/01/26","GC","","","Flat","            "
"42",2023,"men","Road",274,"Trofeo Andratx","ES","1.1","One Day","2023/01/27","2023/01/27","GC","","","Hilly","           Challenge Mallorca "
"43",2023,"men","Road",460,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","02","130.7","Sharjah-Al Badayer","Flat","            "
"44",2023,"men","Road",460,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","05","72.3","Sharjah-Sharjah","Flat","            "
"45",2023,"men","Road",460,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","01","8.9","Sharjah-Sharjah","Flat ITT","            "
"46",2023,"men","Road",460,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","03","117.1","Dibba Alshin-Wadi al Hilo","Hilly MTF","            "
"47",2023,"men","Road",460,"Tour of Sharjah","AE","2.2","Stage Race","2023/01/27","2023/01/31","04","110.2","Kalba-Khorfakkan","Hilly MTF","            "
"48",2023,"men","Road",20014,"Grand Prix Aspendos","TR","1.2","One Day","2023/01/28","2023/01/28","GC","","","Flat","            "
"49",2023,"men","Road",100,"Trofeo Serra de Tramuntana","ES","1.1","One Day","2023/01/28","2023/01/28","GC","","","Hilly","           Challenge Mallorca "
"50",2023,"men","Road",1172,"Cadel Road Race","AU","1.UWT","One Day","2023/01/29","2023/01/29","GC","","","Hilly"," World Tour      Aussie WT     "
"51",2023,"men","Road",83,"Trofeo Palma","ES","1.1","One Day","2023/01/29","2023/01/29","GC","","","Flat","           Challenge Mallorca "
"52",2023,"men","Road",97,"GP la Marseillaise","FR","1.1","One Day","2023/01/29","2023/01/29","GC","","","Hilly","            "
"53",2023,"men","Road",868,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","01","180.5","Alula-Khaybar","Flat","        Middle East Races    "
"54",2023,"men","Road",868,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","02","184","Alula-Shalal Sijlyat","Flat","        Middle East Races    "
"55",2023,"men","Road",868,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","05","142.9","Alula-Maraya","Flat","        Middle East Races    "
"56",2023,"men","Road",868,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","04","163.4","Maraya-Harrat Uwayrid","Hilly","        Middle East Races    "
"57",2023,"men","Road",868,"AlUla Tour","SA","2.1","Stage Race","2023/01/30","2023/02/03","03","159.2","Al Manshiyah-Abu Rakah","Hilly MTF","        Middle East Races    "
"58",2023,"men","Road",11406,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","01","110","Berjeimatt-Akjoujt","Unknown","            "
"59",2023,"men","Road",11406,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","02","75","Yaghref-Aoujeft","Unknown","            "
"60",2023,"men","Road",11406,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","03","103","Atar-Choum","Unknown","            "
"61",2023,"men","Road",11406,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","04","76","Zouerate-Zouerate","Unknown","            "
"62",2023,"men","Road",11406,"Tour du Sahel","MR","2.2","Stage Race","2023/02/01","2023/02/05","05","96","Bamako-Akjoujt","Unknown","            "
"63",2023,"men","Road",13738,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","01","149.7","Tilisarao-Juana Koslay","Flat","            "
"64",2023,"men","Road",13738,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","02","179.9","La Toma-La Toma","Flat","            "
"65",2023,"men","Road",13738,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","05","121.6","San Luis-San Luis","Flat","            "
"66",2023,"men","Road",13738,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","03","12.7","El Durazno-El Durazno","Flat ITT","            "
"67",2023,"men","Road",13738,"Vuelta del Porvenir San Luis","AR","2.2","Stage Race","2023/02/01","2023/02/05","04","148.8","Juana Koslay-Juana Koslay","Hilly MTF","            "
"68",2023,"men","Road",319,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","01","189.4","Orihuela-Altea","Hilly","            "
"69",2023,"men","Road",319,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","03","145.1","Bétera-Sagunto","Hilly","            "
"70",2023,"men","Road",319,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","05","93.2","Paterna-València","Hilly","            "
"71",2023,"men","Road",319,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","02","178.2","Novelda-Benissa","Hilly MTF","            "
"72",2023,"men","Road",319,"Volta Comunitat Valenciana","ES","2.Pro","Stage Race","2023/02/01","2023/02/05","04","181.6","Burriana-Altura","Mountain MTF","            "
"73",2023,"men","Road",106,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","01","159.6","Bellegarde-Bellegarde","Flat","            "
"74",2023,"men","Road",106,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","02","169.6","Begard-Aubais","Flat","            "
"75",2023,"men","Road",106,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","05","10.6","Alès-Alès","Flat ITT","            "
"76",2023,"men","Road",106,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","03","169.6","Bessèges-Bessèges","Hilly","            "
"77",2023,"men","Road",106,"Étoile de Bessèges","FR","2.1","Stage Race","2023/02/01","2023/02/05","04","145.5","Saint-Christol-Lèz-Alès-Le Mont Bouquet","Hilly MTF","            "
"78",2023,"men","Road",20015,"Grand Prix Apollon Temple","TR","1.2","One Day","2023/02/04","2023/02/04","GC","","","Flat","            "
"79",2023,"men","Road",462,"Africa TTT","","CCTT","One Day","2023/02/08","2023/02/08","GC","","","TTT","            "
"80",2023,"men","Road",369,"Africa ITT","","CCTT","One Day","2023/02/09","2023/02/09","GC","","","Flat ITT","            "
"81",2023,"men","Road",20310,"Africa ITT-U23","","CCUT","One Day","2023/02/09","2023/02/09","GC","","","Flat ITT","            "
"82",2023,"men","Road",18946,"Muscat Classic","OM","1.1","One Day","2023/02/10","2023/02/10","GC","","","Hilly","            "
"83",2023,"men","Road",74,"Vuelta a Murcia","ES","1.1","One Day","2023/02/11","2023/02/11","GC","","","Hilly","            "
"84",2023,"men","Road",57,"Tour of Oman","OM","2.Pro","Stage Race","2023/02/11","2023/02/15","01","147.4","Al Rustaq Fort-Muscat","Flat","            "
"85",2023,"men","Road",57,"Tour of Oman","OM","2.Pro","Stage Race","2023/02/11","2023/02/15","04","204.9","Izki-Yitti Hills","Hilly","            "
"86",2023,"men","Road",57,"Tour of Oman","OM","2.Pro","Stage Race","2023/02/11","2023/02/15","02","174","Muscat-Quarayyat","Hilly MTF","            "
"87",2023,"men","Road",57,"Tour of Oman","OM","2.Pro","Stage Race","2023/02/11","2023/02/15","03","151.8","Al Khobar-Jabal Haat","Hilly MTF","            "
"88",2023,"men","Road",57,"Tour of Oman","OM","2.Pro","Stage Race","2023/02/11","2023/02/15","05","152.2","Samail-Jabal Al Akhdhar / Green Mountain","Mountain MTF","            "
"89",2023,"men","Road",18947,"Figueira Champions Classic","PT","1.1","One Day","2023/02/12","2023/02/12","GC","","","Hilly","            "
"90",2023,"men","Road",129,"Clasica de Almeria","ES","1.Pro","One Day","2023/02/12","2023/02/12","GC","","","Flat","            "
"91",2023,"men","Road",16519,"Jaén Paraiso Interior","ES","1.1","One Day","2023/02/13","2023/02/13","GC","","","Hilly MTF","            "
"92",2023,"men","Road",110,"Vuelta a Andalucía","ES","2.Pro","Stage Race","2023/02/15","2023/02/19","03","161.8","Alcalá de Guadaíra-Alcalá de los Gazules","Flat","            "
"93",2023,"men","Road",110,"Vuelta a Andalucía","ES","2.Pro","Stage Race","2023/02/15","2023/02/19","04","164.3","Olvera-Iznájar","Hilly","            "
"94",2023,"men","Road",110,"Vuelta a Andalucía","ES","2.Pro","Stage Race","2023/02/15","2023/02/19","05","184.3","Otura-Alhaurín de la Torre","Hilly","            "
"95",2023,"men","Road",110,"Vuelta a Andalucía","ES","2.Pro","Stage Race","2023/02/15","2023/02/19","02","156.1","Diezma-Alcalá la Real","Hilly MTF","            "
"96",2023,"men","Road",110,"Vuelta a Andalucía","ES","2.Pro","Stage Race","2023/02/15","2023/02/19","01","179","Puente de Génave-Santiago de la Espada","Mountain","            "
"97",2023,"men","Road",107,"Volta ao Algarve","PT","2.Pro","Stage Race","2023/02/15","2023/02/19","03","203.1","Faro-Taviria","Flat","            "
"98",2023,"men","Road",107,"Volta ao Algarve","PT","2.Pro","Stage Race","2023/02/15","2023/02/19","05","24.4","Lagoa-Lagoa","Flat ITT","            "
"99",2023,"men","Road",107,"Volta ao Algarve","PT","2.Pro","Stage Race","2023/02/15","2023/02/19","01","200.2","Portimão-Lagos","Hilly","            "
"100",2023,"men","Road",107,"Volta ao Algarve","PT","2.Pro","Stage Race","2023/02/15","2023/02/19","02","186.3","Sagres-Alto da Fóia","Hilly MTF","            "
"101",2023,"men","Road",107,"Volta ao Algarve","PT","2.Pro","Stage Race","2023/02/15","2023/02/19","04","177.9","Albufeira-Malhão","Hilly MTF","            "
"102",2023,"men","Road",111,"Tour Alpes Maritimes du Var","FR","2.1","Stage Race","2023/02/17","2023/02/19","01","187","Saint Raphaël-Ramatuelle","Flat","            "
"103",2023,"men","Road",111,"Tour Alpes Maritimes du Var","FR","2.1","Stage Race","2023/02/17","2023/02/19","02","178.9","Mandelieu-la-napoule-Antibes Azur Aréna","Hilly","            "
"104",2023,"men","Road",111,"Tour Alpes Maritimes du Var","FR","2.1","Stage Race","2023/02/17","2023/02/19","03","131.8","Villefranche-sur-Mer-Vence ","Hilly","            "
"105",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","01","115.6","Kigali-Rwamagana","Flat","            "
"106",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","02","132.9","Kigali-Gisagara","Hilly","            "
"107",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","04","138.3","Musanze-Karongi","Hilly","            "
"108",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","05","195.5","Rusizi-Rubavu","Hilly","            "
"109",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","03","199.5","Huye-Musanze","Mountain MTF","            "
"110",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","06","157","Rubavu-Gicumbi","Mountain MTF","            "
"111",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","07","115.8","Nyamata-Mount Kigai","Mountain MTF","            "
"112",2023,"men","Road",450,"Tour of Rwanda","RW","2.1","Stage Race","2023/02/19","2023/02/26","08","75.3","Kigali-Kigali","Mountain MTF","            "
"113",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","01","151","Al Dhafra-Al Mirfa","Flat"," World Tour       Middle East Races    "
"114",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","04","174","Shindagha-Dubai","Flat"," World Tour       Middle East Races    "
"115",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","05","170","Al Marjan-Umm Al Quwain","Flat"," World Tour       Middle East Races    "
"116",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","06","166","Abu Dhabi-Abu Dhabi","Flat"," World Tour       Middle East Races    "
"117",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","02","17.3","Khalifa Port-Khalifa Port | TTT","TTT"," World Tour       Middle East Races    "
"118",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","03","185","Al Fujayiah-Jebel Jais","Mountain MTF"," World Tour       Middle East Races    "
"119",2023,"men","Road",9800,"UAE Tour","AE","2.UWT","Stage Race","2023/02/20","2023/02/26","07","153","Abu Dhabi-Jebel Hafeet","Mountain MTF"," World Tour       Middle East Races    "
"120",2023,"men","Road",16526,"Gran Camiño","ES","2.1","Stage Race","2023/02/23","2023/02/26","04","18.1","Novo Milladoiro-Santiago de la Compostela","Flat ITT","            "
"121",2023,"men","Road",16526,"Gran Camiño","ES","2.1","Stage Race","2023/02/23","2023/02/26","01","191.5","Muralla de Lugo-Sarria","Hilly","            "
"122",2023,"men","Road",16526,"Gran Camiño","ES","2.1","Stage Race","2023/02/23","2023/02/26","02","184.3","A Guarda-Monte Trega","Hilly MTF","            "
"123",2023,"men","Road",16526,"Gran Camiño","ES","2.1","Stage Race","2023/02/23","2023/02/26","03","123.4","Parque Natural da Encina da Lastra-Rubia","Hilly MTF","            "
"124",2023,"men","Road",53,"Omloop Het Nieuwsblad","BE","1.UWT","One Day","2023/02/25","2023/02/25","GC","","","Cobbles"," World Tour   Cobbled Classic  Cobbles Opening Weekend      "
"125",2023,"men","Road",121,"Faun-Ardèche Classic","FR","1.Pro","One Day","2023/02/25","2023/02/25","GC","","","Hilly","            "
"126",2023,"men","Road",432,"La Drome Classic","FR","1.Pro","One Day","2023/02/26","2023/02/26","GC","","","Hilly","            "
"127",2023,"men","Road",84,"Kuurne-Brussel-Kuurne","BE","1.Pro","One Day","2023/02/26","2023/02/26","GC","","","Cobbles","    Cobbled Classic  Cobbles Opening Weekend      "
"128",2023,"men","Road",116,"Le Samyn","BE","1.1","One Day","2023/02/28","2023/02/28","GC","","","Cobbles","    Cobbled Classic        "
"129",2023,"men","Road",112,"Trofeo Laigueglia","IT","1.Pro","One Day","2023/03/01","2023/03/01","GC","","","Hilly","            "
"130",2023,"men","Road",277,"Umag Trophy","HR","1.2","One Day","2023/03/01","2023/03/01","GC","","","Hilly","            "
"131",2023,"men","Road",20017,"Alanya Cup","TR","1.2","One Day","2023/03/04","2023/03/04","GC","","","Flat","            "
"132",2023,"men","Road",539,"GP Criquielion","BE","1.1","One Day","2023/03/04","2023/03/04","GC","","","Hilly","            "
"133",2023,"men","Road",18953,"Le Tour des 100 Communes","FR","1.2","One Day","2023/03/04","2023/03/04","GC","","","Flat","            "
"134",2023,"men","Road",283,"Ster van Zwolle","NL","1.2","One Day","2023/03/04","2023/03/04","GC","","","Flat","            "
"135",2023,"men","Road",54,"Strade Bianche","IT","1.UWT","One Day","2023/03/04","2023/03/04","GC","","","Hilly MTF"," World Tour Big7          "
"136",2023,"men","Road",16525,"South Aegean Tour","GR","2.2","Stage Race","2023/03/04","2023/03/05","01","180","Rhodes-Koskinou","Hilly MTF","            "
"137",2023,"men","Road",16525,"South Aegean Tour","GR","2.2","Stage Race","2023/03/04","2023/03/05","02","168.8","Rhodes-Salakos","Hilly MTF","            "
"138",2023,"men","Road",284,"GP Lillers","FR","1.2","One Day","2023/03/05","2023/03/05","GC","","","Flat","            "
"139",2023,"men","Road",278,"Porec Trophy","HR","1.2","One Day","2023/03/05","2023/03/05","GC","","","Flat","            "
"140",2023,"men","Road",2729,"GP Jean-Pierre Monseré","BE","1.1","One Day","2023/03/05","2023/03/05","GC","","","Flat","            "
"141",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","02","163.7","Bazainville-Fontainebleau","Flat"," World Tour           "
"142",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","01","169.4","La Verrière-La Verrière","Hilly"," World Tour           "
"143",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","05","212.4","Saint-Symphorien-sur-Coise-Saint-Paul-Trois-Châteaux","Hilly"," World Tour           "
"144",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","06","197.4","Tourves-La Colle Sur Loup","Hilly"," World Tour           "
"145",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","04","164.7","Saint-Amand-Montrond-La Loge des Gardes","Hilly MTF"," World Tour           "
"146",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","03","32.2","Dampierre-en-Burly-Dampierre-en-Burly | TTT","TTT"," World Tour           "
"147",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","07","142.8","Nice-Col de la Couillole","Mountain MTF"," World Tour           "
"148",2023,"men","Road",2,"Paris-Nice","FR","2.UWT","Stage Race","2023/03/05","2023/03/12","08","117.2","Nice-Nice","Mountain"," World Tour           "
"149",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","02","210","Camaiore-Follonica","Flat"," World Tour           "
"150",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","03","216","Follonica-Foligno","Flat"," World Tour           "
"151",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","07","154","San Benedetto del Tronto-San Benedetto del Tronto","Flat"," World Tour           "
"152",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","01","11.5","Lido di Camaiore-Lido di Camaiore","Flat ITT"," World Tour           "
"153",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","04","219","Greccio -Tortoreto","Hilly MTF"," World Tour           "
"154",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","06","193","Osimo Stazione-Osimo","Hilly MTF"," World Tour           "
"155",2023,"men","Road",3,"Tirreno-Adriatico","IT","2.UWT","Stage Race","2023/03/06","2023/03/12","05","165.6","Morro d'Oro-Sarnano-Sassotetto","Mountain MTF"," World Tour           "
"156",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","01","121","Bordj Bou Arréridj-M’sila","Flat","            "
"157",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","05","128","Sétif-Constantine","Flat","            "
"158",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","07","145.5","Skikda-Jijel","Flat","            "
"159",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","08","87.2","Jijel-Bejaïa","Flat","            "
"160",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","00","4.1","Bordj Bou Arréridj-Bordj Bou Arréridj","Flat ITT","            "
"161",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","02","176","Boussaâda-Biskra","Hilly","            "
"162",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","03","111.5","Biskra-Batna","Hilly","            "
"163",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","06","82.5","Constantine-Skikda","Hilly","            "
"164",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","09","119","Bejaïa-Tizi Ouzou","Hilly","            "
"165",2023,"men","Road",465,"Tour d'Algérie","DZ","2.2","Stage Race","2023/03/07","2023/03/16","04","142","Batna-Sétif","Hilly MTF","            "
"166",2023,"men","Road",276,"Istrian Spring Trophy","HR","2.2","Stage Race","2023/03/09","2023/03/12","03","114","Pazin-Umag","Flat","            "
"167",2023,"men","Road",276,"Istrian Spring Trophy","HR","2.2","Stage Race","2023/03/09","2023/03/12","00","1.5","Vrsar-Vrsar","Flat ITT","            "
"168",2023,"men","Road",276,"Istrian Spring Trophy","HR","2.2","Stage Race","2023/03/09","2023/03/12","01","153","Porec-Funtana","Hilly","            "
"169",2023,"men","Road",276,"Istrian Spring Trophy","HR","2.2","Stage Race","2023/03/09","2023/03/12","02","173","Novograd-Motovun","Hilly MTF","            "
"170",2023,"men","Road",7005,"Rhodes Grand Prix","GR","1.2","One Day","2023/03/11","2023/03/11","GC","","","Flat","            "
"171",2023,"men","Road",510,"Dorpenomloop Rucphen","NL","1.2","One Day","2023/03/12","2023/03/12","GC","","","Flat","            "
"172",2023,"men","Road",131,"Ronde van Drenthe","NL","1.1","One Day","2023/03/12","2023/03/12","GC","","","Flat","    Cobbled Classic        "
"173",2023,"men","Road",132,"Tour de Taiwan","TW","2.1","Stage Race","2023/03/12","2023/03/16","01","83.2","Taipei-Taipei","Flat","            "
