index,season,first_cycling_race_id,position,first_cycling_rider_id,gc_time,stage,gc_time_leader,bib_number,first_cycling_team_id,team_name_invitational,gender,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date
34,2023,677,35,47321,NaN,GC,+ 01:18,34 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
35,2023,677,36,84388,NaN,GC,+ 01:22,162 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
36,2023,677,37,25650,NaN,GC,+ 01:44,191 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
37,2023,677,38,45700,NaN,GC,+ 01:44,175 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
38,2023,677,39,82730,NaN,GC,+ 02:00,196 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
39,2023,677,40,55559,NaN,GC,+ 02:27,5 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
40,2023,677,41,104926,NaN,GC,+ 02:37,65 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
41,2023,677,42,73908,NaN,GC,+ 02:43,63 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
42,2023,677,43,35434,NaN,GC,+ 02:43,205 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
43,2023,677,44,34593,NaN,GC,+ 02:43,192 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
44,2023,677,45,43914,NaN,GC,+ 02:48,42 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
45,2023,677,46,54915,NaN,GC,+ 03:04,194 ,None,Venezuela,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
46,2023,677,47,23099,NaN,GC,+ 03:05,153 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
47,2023,677,48,82649,NaN,GC,+ 03:20,53 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
48,2023,677,49,34568,NaN,GC,+ 03:22,103 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
49,2023,677,50,74958,NaN,GC,+ 03:22,93 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
50,2023,677,51,73238,NaN,GC,+ 04:16,54 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
51,2023,677,52,202681,NaN,GC,+ 04:27,156 ,None,Peru,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
52,2023,677,53,138976,NaN,GC,+ 04:41,136 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
53,2023,677,54,62780,NaN,GC,+ 05:45,44 ,34590,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
54,2023,677,55,45900,NaN,GC,+ 05:47,203 ,None,Uruguay,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
55,2023,677,56,43877,NaN,GC,+ 06:36,94 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
56,2023,677,57,83419,NaN,GC,+ 07:10,76 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
57,2023,677,58,58638,NaN,GC,+ 07:16,134 ,34701,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
58,2023,677,59,48892,NaN,GC,+ 07:19,15 ,34594,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
59,2023,677,60,164728,NaN,GC,+ 07:24,4 ,34592,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
60,2023,677,61,37206,NaN,GC,+ 07:30,56 ,34589,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
61,2023,677,62,76345,NaN,GC,+ 07:46,85 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
62,2023,677,63,49703,NaN,GC,+ 07:51,74 ,34614,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
63,2023,677,64,14806,NaN,GC,+ 08:18,161 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
64,2023,677,65,206315,NaN,GC,+ 09:18,106 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
65,2023,677,66,35761,NaN,GC,+ 09:22,81 ,34615,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
66,2023,677,67,88843,NaN,GC,+ 09:34,35 ,34591,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
67,2023,677,68,16572,NaN,GC,+ 09:34,24 ,34593,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
68,2023,677,69,189623,NaN,GC,+ 09:56,112 ,34700,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
69,2023,677,70,132728,NaN,GC,+ 10:12,183 ,34375,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
70,2023,677,71,51374,NaN,GC,+ 10:22,166 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
71,2023,677,72,58456,NaN,GC,+ 10:46,64 ,34658,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
72,2023,677,73,16748,NaN,GC,+ 10:58,174 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
73,2023,677,74,49071,NaN,GC,+ 12:07,163 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
74,2023,677,75,87353,NaN,GC,+ 12:30,101 ,34696,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
75,2023,677,76,59700,NaN,GC,+ 13:18,146 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
76,2023,677,77,116513,NaN,GC,+ 15:19,173 ,None,Chile,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
77,2023,677,78,167226,NaN,GC,+ 15:36,142 ,34699,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
78,2023,677,79,43924,NaN,GC,+ 15:52,92 ,34616,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
79,2023,677,80,110398,NaN,GC,+ 17:36,125 ,34697,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
80,2023,677,81,8517,NaN,GC,+ 18:08,165 ,34693,None,Men,Giro del Sol San Juan,Road,AR,2.2,Stage Race,2023/01/06,2023/01/08
