season,team_id,team_name,uci_division
2023,33309,Leopard Togt Pro Cycling,Men's Conti
2023,34263,Levante Fuji Shizuoka,Men's Conti
2023,35000,Li Ning Star,Men's Conti
2023,34744,Ljubljana Gusto Santic,Men's Conti
2023,32713,Lotto Dstny Development Team,Men's Conti
2023,34780,LX Cycling Team,Men's Conti
2023,35007,Maloja Pushbikers,Men's Conti
2023,33430,Materiel-Velo.com,Men's Conti
2023,33941,Matrix Powertag,Men's Conti
2023,35005,May Stars,Men's Conti
2023,35004,Mentorise Elite Team,Men's Conti
2023,37973,Mes Sungun-Azad,Men's Conti
2023,33919,Metec-SOLARWATT p/b Mantel,Men's Conti
2023,34026,MG.K vis Colors for Peace VPM,Men's Conti
2023,34149,MitoQ-NZ Cycling Project,Men's Conti
2023,35003,Motala AIF Serneke Allebike,Men's Conti
2023,33999,Movistar-Best PC,Men's Conti
2023,35002,Mula Cycling Team,Men's Conti
2023,34589,Municipalidad de Rawson,Men's Conti
2023,33163,Nice Métropole Côte d'Azur,Men's Conti
2023,34133,NSJBI Victoria Sports Cycling Team,Men's Conti
2023,35416,Nusantara Cycling Team,Men's Conti
2023,38054,Omidnia,Men's Conti
2023,34247,P&amp;S Benotti,Men's Conti
2023,34588,Panamá es Cultura y Valores,Men's Conti
2023,35009,Pardus Cycling Team,Men's Conti
2023,35008,Pingtan International Tourism Island Cycling Team,Men's Conti
2023,34375,Pio Rico-Alcaldia La Vega,Men's Conti
2023,33724,Project Echelon Racing,Men's Conti
2023,35006,Q36.5 Continental Cycling Team,Men's Conti
2023,33563,Rad-Net Osswald,Men's Conti
2023,33102,Radio Popular - Paredes - Boavista,Men's Conti
2023,33424,Restaurant Suri-Carl Ras,Men's Conti
2023,34154,Roojai Online Insurance,Men's Conti
2023,34658,Rower San Luis Continental,Men's Conti
2023,34120,RRK Group-Pierre Baguette-Benzinol,Men's Conti
2023,28022,Saint Michel-Mavic-Auber 93,Men's Conti
2023,34380,Saint Piran,Men's Conti
2023,34260,Saitama/Nasu SunBrave,Men's Conti
2023,34143,Santic-Wibatech,Men's Conti
2023,33283,Saris Rouvy Sauerland Team,Men's Conti
2023,33638,Scorpions Racing Team,Men's Conti
2023,35016,Seoul Cycling Team,Men's Conti
2023,34591,SEP San Juan,Men's Conti
2023,35015,Shandong Green Orange Continental Team,Men's Conti
2023,35014,Shenzhen Xidesheng Cycling Team,Men's Conti
2023,34491,Shimano Racing,Men's Conti
2023,34353,SIAS RIME,Men's Conti
2023,35013,Sidi Ali-Unlock Team,Men's Conti
2023,34289,Sofer-Savini Due-OMZ,Men's Conti
2023,32782,Soudal Quick-Step Devo Team,Men's Conti
2023,34494,Sparkle Oita Racing Team,Men's Conti
2023,34631,Spor Toto Cycling Team,Men's Conti
2023,34148,St George Continental Cycling Team,Men's Conti
2023,35012,SuezCanalDiscovery,Men's Conti
2023,34693,SwiftCarbon Pro Cycling Brasil,Men's Conti
2023,32979,Tarteletto-Isorex,Men's Conti
2023,33783,Tartu2024 Cycling Team,Men's Conti
2023,33552,Tavfer - Ovos Matinados - Mortágua,Men's Conti
2023,34186,TdT-Unibet,Men's Conti
2023,34317,Team Banco Guayaquil,Men's Conti
2023,34613,Team BridgeLane,Men's Conti
2023,34363,Team Bridgestone Cycling,Men's Conti
2023,33366,Team Coloquick,Men's Conti
2023,33054,Team Colpack Ballan,Men's Conti
2023,33914,Team Coop-Repsol,Men's Conti
2023,33415,Team Ecoflo Chronos,Men's Conti
2023,34343,Team Felbermayr Simplon Wels,Men's Conti
2023,32910,Team Lotto-Kern Haus,Men's Conti
2023,34041,Team Medellin-EPM,Men's Conti
2023,34360,Team Novo Nordisk Development,Men's Conti
2023,33554,Team Papa John's,Men's Conti
2023,36976,Team Petrolike,Men's Conti
2023,35020,Team Skyline,Men's Conti
2023,34313,Team Storck-Metropol Cycling,Men's Conti
2023,34103,Team Technipes #InEmiliaRomagna,Men's Conti
2023,34340,Team Vorarlberg,Men's Conti
