season,gender,race_id,race_name,category,race_nationality,uci_race_classification,stage_race_boolean,start_date,end_date,race_tag
2023,Men,16527,GP Vipava Valley,Road,SI,1.2,One Day,2023/03/23,2023/03/23,
2023,Men,47,E3 Saxo Classic,Road,BE,1.UWT,One Day,2023/03/24,2023/03/24,Cobbled Classic
2023,Men,937,GP Adria Mobil,Road,SI,1.2,One Day,2023/03/26,2023/03/26,
2023,Men,20016,Syedra Ancient City,Road,TR,1.2,One Day,2023/03/26,2023/03/26,
2023,Men,3999,Gent - Wevelgem,Road,BE,1.2U,One Day,2023/03/26,2023/03/26,
2023,Men,7,Gent - Wevelgem,Road,BE,1.UWT,One Day,2023/03/26,2023/03/26,Cobbled Classic
2023,Men,263,GP Industria &amp; Artigianato,Road,IT,1.Pro,One Day,2023/03/26,2023/03/26,
2023,Men,260,La Roue Tourangelle,Road,FR,1.1,One Day,2023/03/26,2023/03/26,
2023,Men,75,Dwars door Vlaanderen,Road,BE,1.UWT,One Day,2023/03/29,2023/03/29,Cobbled Classic
2023,Men,17278,Vuelta Bantrab,Road,GT,2.2,Stage Race,2023/03/29,2023/04/02,
2023,Men,358,Oceania ITT,Road,,CCTT,One Day,2023/03/30,2023/03/30,
2023,Men,360,Oceania ITT-U23,Road,,CCUT,One Day,2023/03/30,2023/03/30,
2023,Men,134,Route Adélie de Vitré,Road,FR,1.1,One Day,2023/03/31,2023/03/31,
2023,Men,357,Oceania RR,Road,,CCRR,One Day,2023/04/01,2023/04/01,
2023,Men,507,Tour of Thailand,Road,TH,2.1,Stage Race,2023/04/01,2023/04/06,
2023,Men,48,GP Miguel Indurain,Road,ES,1.Pro,One Day,2023/04/01,2023/04/01,
2023,Men,126,Volta Limburg Classic,Road,NL,1.1,One Day,2023/04/01,2023/04/01,
2023,Men,297,Trofeo PIVA,Road,IT,1.2U,One Day,2023/04/02,2023/04/02,
2023,Men,5,Ronde van Vlaanderen,Road,BE,1.UWT,One Day,2023/04/02,2023/04/02,Monument
2023,Men,6,Itzulia Basque Country,Road,ES,2.UWT,Stage Race,2023/04/03,2023/04/08,
2023,Men,217,Pays de la Loire Tour,Road,FR,2.1,Stage Race,2023/04/04,2023/04/07,
2023,Men,56,Scheldeprijs,Road,BE,1.Pro,One Day,2023/04/05,2023/04/05,Cobbled Classic
2023,Men,293,Circuit des Ardennes,Road,FR,2.2,Stage Race,2023/04/06,2023/04/09,
2023,Men,8,Paris-Roubaix,Road,FR,1.UWT,One Day,2023/04/09,2023/04/09,Monument
2023,Men,295,Giro del Belvedere,Road,IT,1.2U,One Day,2023/04/10,2023/04/10,
2023,Men,296,GP Palio del Recioto,Road,IT,1.2U,One Day,2023/04/11,2023/04/11,
2023,Men,145,Paris - Camembert,Road,FR,1.1,One Day,2023/04/11,2023/04/11,
2023,Men,11248,Giro di Sicilia,Road,IT,2.1,Stage Race,2023/04/11,2023/04/14,
2023,Men,294,Tour du Loir-et-Cher,Road,FR,2.2,Stage Race,2023/04/12,2023/04/16,
2023,Men,77,Brabantse Pijl,Road,BE,1.Pro,One Day,2023/04/12,2023/04/12,Cobbled Classic
2023,Men,1029,Central American Championship ITT,Road,,1.2,One Day,2023/04/14,2023/04/14,
2023,Men,14584,Central American Championship ITT-U23,Road,,1.2U,One Day,2023/04/14,2023/04/14,
2023,Men,15075,Classic Grand Besançon Doubs,Road,FR,1.1,One Day,2023/04/14,2023/04/14,
2023,Men,428,Arno Wallaard Mem.,Road,NL,1.2,One Day,2023/04/15,2023/04/15,
2023,Men,14585,Central American Championship RR-U23,Road,,1.2U,One Day,2023/04/15,2023/04/15,
2023,Men,1285,Tour du Jura,Road,FR,1.1,One Day,2023/04/15,2023/04/15,
2023,Men,42,LBL Espoirs,Road,BE,1.2U,One Day,2023/04/15,2023/04/15,
2023,Men,1028,Central American Championship RR,Road,,1.2,One Day,2023/04/16,2023/04/16,
2023,Men,318,Tr. S. Vendemiano,Road,IT,1.2U,One Day,2023/04/16,2023/04/16,
2023,Men,9,Amstel Gold Race,Road,NL,1.UWT,One Day,2023/04/16,2023/04/16,
2023,Men,162,Tour du Doubs,Road,FR,1.1,One Day,2023/04/16,2023/04/16,
2023,Men,108,Giro Reggio Calabria,Road,IT,1.1,One Day,2023/04/16,2023/04/16,
2023,Men,62,Tour of the Alps,Road,IT,2.Pro,Stage Race,2023/04/17,2023/04/21,
2023,Men,9018,Belgrade Banjaluka,Road,BA,2.2,Stage Race,2023/04/19,2023/04/22,
2023,Men,367,Pan-America ITT,Road,,CCTT,One Day,2023/04/19,2023/04/19,
2023,Men,368,Pan-America ITT-U23,Road,,CCUT,One Day,2023/04/19,2023/04/19,
