Event ID,Race Name,RSL Discipline,Position,RSL Points
555709,Otley Cycle Races,Crit,6,18
555709,Otley Cycle Races,Crit,7,16
555709,Otley Cycle Races,Crit,8,14
555709,Otley Cycle Races,Crit,9,12
555709,Otley Cycle Races,Crit,10,10
555709,Otley Cycle Races,Crit,11,5
555709,Otley Cycle Races,Crit,12,4
555709,Otley Cycle Races,Crit,13,3
555709,Otley Cycle Races,Crit,14,2
555709,Otley Cycle Races,Crit,15,1
555709,Otley Cycle Races,Crit,16,0
555709,Otley Cycle Races,Crit,17,0
555709,Otley Cycle Races,Crit,18,0
555709,Otley Cycle Races,Crit,19,0
555709,Otley Cycle Races,Crit,20,0
554097,Ilkley Cycle Races,Crit,1,45
554097,Ilkley Cycle Races,Crit,2,35
554097,Ilkley Cycle Races,Crit,3,30
554097,Ilkley Cycle Races,Crit,4,20
554097,Ilkley Cycle Races,Crit,5,16
554097,Ilkley Cycle Races,Crit,6,10
554097,Ilkley Cycle Races,Crit,7,9
554097,Ilkley Cycle Races,Crit,8,8
554097,Ilkley Cycle Races,Crit,9,7
554097,Ilkley Cycle Races,Crit,10,6
554097,Ilkley Cycle Races,Crit,11,5
554097,Ilkley Cycle Races,Crit,12,4
554097,Ilkley Cycle Races,Crit,13,2
554097,Ilkley Cycle Races,Crit,14,1
554097,Ilkley Cycle Races,Crit,15,1
554097,Ilkley Cycle Races,Crit,16,0
554097,Ilkley Cycle Races,Crit,17,0
554097,Ilkley Cycle Races,Crit,18,0
554097,Ilkley Cycle Races,Crit,19,0
554097,Ilkley Cycle Races,Crit,20,0
560718,Guildford Town Centre Races,Crit,1,45
560718,Guildford Town Centre Races,Crit,2,35
560718,Guildford Town Centre Races,Crit,3,30
560718,Guildford Town Centre Races,Crit,4,20
560718,Guildford Town Centre Races,Crit,5,16
560718,Guildford Town Centre Races,Crit,6,10
560718,Guildford Town Centre Races,Crit,7,9
560718,Guildford Town Centre Races,Crit,8,8
560718,Guildford Town Centre Races,Crit,9,7
560718,Guildford Town Centre Races,Crit,10,6
560718,Guildford Town Centre Races,Crit,11,5
560718,Guildford Town Centre Races,Crit,12,4
560718,Guildford Town Centre Races,Crit,13,2
560718,Guildford Town Centre Races,Crit,14,1
560718,Guildford Town Centre Races,Crit,15,1
560718,Guildford Town Centre Races,Crit,16,0
560718,Guildford Town Centre Races,Crit,17,0
560718,Guildford Town Centre Races,Crit,18,0
560718,Guildford Town Centre Races,Crit,19,0
560718,Guildford Town Centre Races,Crit,20,0
560772,Sheffield Grand Prix,Crit,1,45
560772,Sheffield Grand Prix,Crit,2,35
560772,Sheffield Grand Prix,Crit,3,30
560772,Sheffield Grand Prix,Crit,4,20
560772,Sheffield Grand Prix,Crit,5,16
560772,Sheffield Grand Prix,Crit,6,10
560772,Sheffield Grand Prix,Crit,7,9
560772,Sheffield Grand Prix,Crit,8,8
560772,Sheffield Grand Prix,Crit,9,7
560772,Sheffield Grand Prix,Crit,10,6
560772,Sheffield Grand Prix,Crit,11,5
560772,Sheffield Grand Prix,Crit,12,4
560772,Sheffield Grand Prix,Crit,13,2
560772,Sheffield Grand Prix,Crit,14,1
560772,Sheffield Grand Prix,Crit,15,1
560772,Sheffield Grand Prix,Crit,16,0
560772,Sheffield Grand Prix,Crit,17,0
560772,Sheffield Grand Prix,Crit,18,0
560772,Sheffield Grand Prix,Crit,19,0
560772,Sheffield Grand Prix,Crit,20,0
559829,Fort Vale Colne Grand Prix,Crit,1,45
559829,Fort Vale Colne Grand Prix,Crit,2,35
559829,Fort Vale Colne Grand Prix,Crit,3,30
559829,Fort Vale Colne Grand Prix,Crit,4,20
559829,Fort Vale Colne Grand Prix,Crit,5,16
559829,Fort Vale Colne Grand Prix,Crit,6,10
559829,Fort Vale Colne Grand Prix,Crit,7,9
559829,Fort Vale Colne Grand Prix,Crit,8,8
559829,Fort Vale Colne Grand Prix,Crit,9,7
559829,Fort Vale Colne Grand Prix,Crit,10,6
559829,Fort Vale Colne Grand Prix,Crit,11,5
559829,Fort Vale Colne Grand Prix,Crit,12,4
559829,Fort Vale Colne Grand Prix,Crit,13,2
559829,Fort Vale Colne Grand Prix,Crit,14,1
559829,Fort Vale Colne Grand Prix,Crit,15,1
559829,Fort Vale Colne Grand Prix,Crit,16,0
559829,Fort Vale Colne Grand Prix,Crit,17,0
559829,Fort Vale Colne Grand Prix,Crit,18,0
559829,Fort Vale Colne Grand Prix,Crit,19,0
559829,Fort Vale Colne Grand Prix,Crit,20,0
557120,Dawlish Grand Prix,Crit,1,45
557120,Dawlish Grand Prix,Crit,2,35
557120,Dawlish Grand Prix,Crit,3,30
557120,Dawlish Grand Prix,Crit,4,20
557120,Dawlish Grand Prix,Crit,5,16
557120,Dawlish Grand Prix,Crit,6,10
557120,Dawlish Grand Prix,Crit,7,9
557120,Dawlish Grand Prix,Crit,8,8
557120,Dawlish Grand Prix,Crit,9,7
557120,Dawlish Grand Prix,Crit,10,6
557120,Dawlish Grand Prix,Crit,11,5
557120,Dawlish Grand Prix,Crit,12,4
557120,Dawlish Grand Prix,Crit,13,2
557120,Dawlish Grand Prix,Crit,14,1
557120,Dawlish Grand Prix,Crit,15,1
557120,Dawlish Grand Prix,Crit,16,0
557120,Dawlish Grand Prix,Crit,17,0
557120,Dawlish Grand Prix,Crit,18,0
557120,Dawlish Grand Prix,Crit,19,0
557120,Dawlish Grand Prix,Crit,20,0
557417,Witheridge GP,Road Race,1,60
557417,Witheridge GP,Road Race,2,45
557417,Witheridge GP,Road Race,3,40
557417,Witheridge GP,Road Race,4,30
557417,Witheridge GP,Road Race,5,20
557417,Witheridge GP,Road Race,6,18
557417,Witheridge GP,Road Race,7,16
557417,Witheridge GP,Road Race,8,14
557417,Witheridge GP,Road Race,9,12
557417,Witheridge GP,Road Race,10,10
557417,Witheridge GP,Road Race,11,8
557417,Witheridge GP,Road Race,12,6
557417,Witheridge GP,Road Race,13,4
557417,Witheridge GP,Road Race,14,4
557417,Witheridge GP,Road Race,15,3
557417,Witheridge GP,Road Race,16,3
557417,Witheridge GP,Road Race,17,2
557417,Witheridge GP,Road Race,18,2
557417,Witheridge GP,Road Race,19,1
557417,Witheridge GP,Road Race,20,1
555446,Curlew Cup,Road Race,1,65
555446,Curlew Cup,Road Race,2,50
555446,Curlew Cup,Road Race,3,45
555446,Curlew Cup,Road Race,4,35
555446,Curlew Cup,Road Race,5,30
555446,Curlew Cup,Road Race,6,20
555446,Curlew Cup,Road Race,7,18
555446,Curlew Cup,Road Race,8,16
555446,Curlew Cup,Road Race,9,14
555446,Curlew Cup,Road Race,10,12
555446,Curlew Cup,Road Race,11,10
555446,Curlew Cup,Road Race,12,8
555446,Curlew Cup,Road Race,13,6
555446,Curlew Cup,Road Race,14,5
555446,Curlew Cup,Road Race,15,5
555446,Curlew Cup,Road Race,16,5
555446,Curlew Cup,Road Race,17,4
555446,Curlew Cup,Road Race,18,3
555446,Curlew Cup,Road Race,19,2
555446,Curlew Cup,Road Race,20,1
314011,Beaumont Trophy,Road Race,1,65
314011,Beaumont Trophy,Road Race,2,50
314011,Beaumont Trophy,Road Race,3,45
314011,Beaumont Trophy,Road Race,4,35
314011,Beaumont Trophy,Road Race,5,30
314011,Beaumont Trophy,Road Race,6,20
