year,team_name,bc_team_id,BC_team_classification, UCI_team_code, UCI_team_id
2025,DAS-Hutchinson,,UCI Conti,DAS,20468
2025,CJ O'Shea,,UCI Conti,AWO,20418
2025,Handsling Alba Development Road Team, UCI Conti,ART,20411
2025,Hess Cycling Team,, UCI Conti,HES,20708
2025,Smurfit Westrock Cycling Team,, UCI Conti,FLR,20437
